#,Título,Tipo,Progreso,URL
72,"HOLY ANCESTOR",MANHUA,"189.00 / 226.00",https://zonatmo.nakamasweb.com/library/manhua/37266/HOLY-ANCESTOR
73,"Saikyou no Shuzoku ga Ningen Datta Ken",MANGA,"42.00 / 63.00",https://zonatmo.nakamasweb.com/library/manga/40536/saikyou-no-shuzoku-ga-ningen-datta-ken
74,"Senryu Shoujo",MANGA,"1.00 / 173.50",https://zonatmo.nakamasweb.com/library/manga/32281/senryuu-shoujo
75,"Kuro no Maou",MANGA,"14.00 / 30.00",https://zonatmo.nakamasweb.com/library/manga/41024/kuronomaou
76,"Lust Awakening",MANHWA,"102.00 / 103.00",https://zonatmo.nakamasweb.com/library/manhwa/43200/lust-awakening
77,"Stalkers",MANGA,"- / 24.00",https://zonatmo.nakamasweb.com/library/manga/41983/stalkers
78,"My secret Brother",MANHWA,"98.00 / 217.00",https://zonatmo.nakamasweb.com/library/manhwa/14099/my-secret-brother
79,"Half & Half ",MANGA,"- / 13.50",https://zonatmo.nakamasweb.com/library/manga/8926/half-half
80,"ZHIRAN CHENGHUN",MANHUA,"65.00 / 214.00",https://zonatmo.nakamasweb.com/library/manhua/30417/zhiran-chenghun
81,"Yowai 5000-nen no Soushoku Dragon",MANGA,"13.00 / 23.00",https://zonatmo.nakamasweb.com/library/manga/36196/yowai-5000-nen-no-soushoku-dragon
82,"Miracle App Store",MANHWA,"- / 50.00",https://zonatmo.nakamasweb.com/library/manhwa/42485/miracleappstore
83,"¿Puedo Ayudarte?",MANHWA,"27.00 / 64.00",https://zonatmo.nakamasweb.com/library/manhwa/43180/can-i-help-you
84,"Dr. Stone Reboot: Byakuya",MANGA,"- / 9.00",https://zonatmo.nakamasweb.com/library/manga/46594/dr-stone-reboot-byakuya
85,"Memesis",MANGA,"8.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/37251/memesis
86,"Sore ga Kanojo no Seigi nara",MANGA,"12.00 / 23.00",https://zonatmo.nakamasweb.com/library/manga/8545/sore-ga-kanojo-no-seigi-nara
87,"Velvet Kiss",MANGA,"24.00 / 32.00",https://zonatmo.nakamasweb.com/library/manga/10338/velvet-kiss
