#,Título,Tipo,Progreso,URL
18,"S Rank Boukensha de aru Ore no Musume-tachi wa Juudo no Father Con deshita",MANGA,"34.00 / 55.00",https://zonatmo.nakamasweb.com/library/manga/49945/s-rank-boukensha-de-aru-ore-no-musume-tachi-wa-juudo-no-father-con-deshita
19,"Tensei Shitara Slime Datta Ken",MANGA,"124.00 / 139.00",https://zonatmo.nakamasweb.com/library/manga/12223/tenseishitaraslimedattaken
20,"Isekai Cheat Magician",MANGA,"24.00 / 28.00",https://zonatmo.nakamasweb.com/library/manga/29564/Isekai-Cheat-Magician
21,"Genjitsushugi Yuusha no Oukoku Saikenki",MANGA,"49.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/28684/genjitsushugiyuushanooukokusaikenki
22,"Perfect Half",MANHWA,"96.00 / 191.00",https://zonatmo.nakamasweb.com/library/manhwa/17687/perfect-half
23,"Tonikaku Kawaii",MANGA,"43.00 / 335.00",https://zonatmo.nakamasweb.com/library/manga/36144/tonikaku-kawaii
24,"World Teacher: Isekaishiki Kyouiku Agent",MANGA,"22.00 / 41.00",https://zonatmo.nakamasweb.com/library/manga/21495/worldteacherisekaishikikyouikuagent
25,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",MANGA,"40.00 / 76.00",https://zonatmo.nakamasweb.com/library/manga/39199/maounooregadoreielfwoyomenishitandagadoumederebaii
26,"Yasei no Last Boss Ga Arawareta!",MANGA,"40.00 / 50.20",https://zonatmo.nakamasweb.com/library/manga/29565/yaseinolastbossgaarawaretakokuyokunohaou
27,"Black Clover",MANGA,"248.00 / 389.00",https://zonatmo.nakamasweb.com/library/manga/204/black-clover
28,"Sozai Saishuka no Isekai Ryokouki",MANGA,"26.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/34477/sozaisaishukanoisekairyokouki
29,"Kaifuku Jutsushi no Yarinaoshi",MANGA,"34.10 / 69.10",https://zonatmo.nakamasweb.com/library/manga/28551/kaifukujutsushinoyarinaoshi
30,"Kenja no Mago",MANGA,"45.10 / 85.00",https://zonatmo.nakamasweb.com/library/manga/16476/kenjanomago
31,"The New Gate",MANGA,"69.00 / 99.00",https://zonatmo.nakamasweb.com/library/manga/9458/the-new-gate
32,"Cultivation Chat Group",MANHUA,"163.00 / 231.00",https://zonatmo.nakamasweb.com/library/manhua/38417/cultivation-chat-group
33,"Shikkaku Mon no Saikyou Kenja - Sekai Saikyou no Kenja ga Sara ni Tsuyoku naru Tame ni Tensei Shimashita",MANGA,"49.10 / 80.00",https://zonatmo.nakamasweb.com/library/manga/29156/shikkakumonnosaikyoukenjasekaisaikyounokenjagasaranitsuyokunarutamenitenseishimashita
